comment,label
Sony :face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape:,SKIP
💽💽💽💽💽💽,Negative
"PlayStation is gone. Grab your shovels, burial in 2028.",Negative
Wolverine scammed me! Too much button mashing. Hand holding hints are a mood killer. The combat doesn't HAVE a lot of depth. This game NEEDS a lot of patches!,Negative
JFC this is so cringe and tone deaf... You embarrass yourselves.,Negative
💿💿💿💿💿💿💿 DISC,Negative
"Shipping on discs right?

Could you maybe get a refund on this terrible ad and fund discs instead?",Negative
"No disc? Well then… toodle-oo, catch ya later, arrivederci!",Negative
"No disc, no buy 💿
Try to spend more time listening to your customers, and less money on things no one asked for Sony!",Negative
Discs,Negative
We want to own our games in physical format !,Negative
"What about a budget to fix the bugs instead of this ??? 


Btw Save 📀💿📀💿📀💿📀💿📀💿📀💿📀💿📀💿📀💿📀",Negative
"lol what a waste of money for playstation this wolverine venture has been, bet you are happy you canceled Kojima and invested in this instead. Not like now Kojima has extra drive to make the game a masterpiece so it sells a lot to show you guys how bad you messed up ... oh wait",Negative
"No need the sphere, we need phisical disc 📀💿📀💿📀💿📀💿📀💿📀💿📀💿📀💿",Negative
So cool 😎,Positive
"Wow, the likes to dislike ratio is just amazing. Almost 1:3
Let me add one to the side which is weighing heavy, and add it DIGITALLY",Neutral
"This game plays itself lol.  Pass.  Also, Playstation, your recent decisions the last few years have been awful.  Thank you for destroying the once beloved brand.",Neutral
Son unos avaros compro un juego y ahora tengo que pagar extra para jugar con alguien más en equipo ojalá su empresa se valla a la quiebra por avaros..,SKIP
I bought the physical version of this game! Great job Insomniac! Shame on you Sony! 💿💿💿💿💿💿💿,Negative
"Question.... will Playstation end it's self with forced diversity hand holding trash games before it ends itself with digital only dynamic pricing? 
At this rate it won't last to see dynamic pricing?",Neutral
Not only the physical format that this game still has could save it. Greed has no limits!!! 📀📀📀📀💿💿💿💿,Neutral
no disc no buy,Negative
My heart will break if it comes digital.,Negative
F SONY NO DISC NO BUY,Negative
GREED HAS NO LIMITS!,Negative
We want the discs,Negative
I like this physical sphere not like your games !,Negative
and that's why the game is a buggy mess,Negative
"DISC happens on PS4, PS5 and PS6! 📀",Neutral
Нормально!) Надо брать игру),SKIP
"Instead of this keep printing discs.
NO TO PS6
NO DISC NO BUY
NO HIDEO NO BUY",Negative
"Physical games, or no PS6",Negative
Physical discs sony,Negative
NO DISC NO BUY 💽💪,Negative
Sony remembers to relese this after the game has already come out. 😂,Neutral
Save physical ownership 📀💿📀💿📀💿📀💿📀💿📀💿,Neutral
Kinda looks like a huge disc,Neutral
Looks like more time was spent in the Sphere than the actual game. NDNB,Neutral
"La sphère est ronde comme un cd 🤔🤔🤔.
VIVE LE PHYSIQUE COMPLET!!!",SKIP
6/10 people seen the ad…,SKIP
its round ... like a disc,SKIP
Soyverine,SKIP
Keep the Physical Format alive beyond 2028!,Neutral
"Physical media beyond 2028 
If it s not no Ps6 
📀📀📀📀📀📀📀📀📀📀📀📀",Negative
Save physical media,Neutral
Greed awaits,Neutral
How do you expect anyone to find that without a scent trail?,Neutral
Cancel Physint but put up expensive ads like this...,Negative
Sonys last gasp of relevancy unless they reverse course 📀 💿,Neutral
Sweet Baby inc trash. No thanks,Neutral
"Playstation, re-think ownership over the games we buy, and keep the physical media.",Negative
